test,time [s],C,,
BT-E-1800_1200-80_40-6_PCC,"80
",-6,,
BT-E-1800_1200-80_40-6_PCC,1080,-1.71,,
BT-E-1800_1200-80_40-6_PCC,40,-6,,
BT-E-1800_1200-80_40-6_PCC,0,-1.71,,
BT-E-1800_1200-80_40-6.5_PCC,80,-6.5,,
BT-E-1800_1200-80_40-6.5_PCC,1080,-1.68,,
BT-E-1800_1200-80_40-6.5_PCC,40,-6.5,,
BT-E-1800_1200-80_40-6.5_PCC,0,-1.68,,
BT-E-1800_1200-80_40-7_PCC,80,-7,,
BT-E-1800_1200-80_40-7_PCC,1080,-1.64,,
BT-E-1800_1200-80_40-7_PCC,40,-7,,
BT-E-1800_1200-80_40-7_PCC,0,-1.64,,
BT-E-1800_1200-80_40-7.5_PCC,80,-7.5,,
BT-E-1800_1200-80_40-7.5_PCC,1080,-1.61,,
BT-E-1800_1200-80_40-7.5_PCC,40,-7.5,,
BT-E-1800_1200-80_40-7.5_PCC,0,-1.61,,
BT-B-1_2_PCC,0,-1,,
BT-E-1800_1200-100_50-6_PCC,100,-6,,
BT-E-1800_1200-100_50-6_PCC,1050,-1.63,,
BT-E-1800_1200-100_50-6_PCC,50,-6,,
BT-E-1800_1200-100_50-6_PCC,0,-1.63,,
BT-E-1800_1200-100_50-6.5_PCC,100,-6.5,,
BT-E-1800_1200-100_50-6.5_PCC,1050,-1.59,,
BT-E-1800_1200-100_50-6.5_PCC,50,-6.5,,
BT-E-1800_1200-100_50-6.5_PCC,0,-1.59,,
BT-E-1800_1200-100_50-7_PCC,100,-7,,
BT-E-1800_1200-100_50-7_PCC,1050,-1.55,,
BT-E-1800_1200-100_50-7_PCC,50,-7,,
BT-E-1800_1200-100_50-7_PCC,0,-1.55,,
BT-E-1800_1200-100_50-7.5_PCC,100,-7.5,,
BT-E-1800_1200-100_50-7.5_PCC,1050,-1.5,,
BT-E-1800_1200-100_50-7.5_PCC,50,-7.5,,
BT-E-1800_1200-100_50-7.5_PCC,0,-1.5,,
BT-B-1_3_PCC,0,-1,,
