t1548846811.5 U0.0 I0.0 T-103 T_a-103.0, Charging started: BT-E-1800_1200-80_40-6
t1548846811.56 U25.1141 I-0.1232 T17.312 T_a30.1184287269, 17.312
t1548846821.58 U25.1901 I1.0592 T17.375 T_a30.1375015785, 17.375
t1548846831.6 U25.1933 I0.9043 T17.312 T_a30.1057411631, 17.312
t1548846841.62 U25.1975 I0.8023 T17.375 T_a30.1120730346, 17.375
t1548846851.64 U25.2028 I0.7319 T17.375 T_a30.0167531354, 17.375
t1548846861.66 U25.2049 I0.6862 T17.375 T_a29.9596544939, 17.375
t1548846871.68 U25.2039 I0.6369 T17.375 T_a29.9596308616, 17.375
t1548846881.69 U25.1944 I0.6052 T17.375 T_a29.9850212485, 17.375
t1548846891.71 U25.1944 I0.5771 T17.375 T_a29.8771844618, 17.375
t1548846901.73 U25.1944 I0.5313 T17.375 T_a29.9088692483, 17.375
t1548846911.79 U0.0 I0.0 T-104 T_a-104.0, Charging completed/interrupted: BT-E-1800_1200-80_40-6
t1548846912.79 U0.0 I0.0 T17.375 T_a-101.0, Discharging started: BT-E-1800_1200-80_40-6
t1548846912.79 U0.0 I0.0 T17.375 T_a-101.0, Discharging started: BT-E-1800_1200-80_40-6
t1548846922.86 U23.6338793256 I-71.9978 T17.375 T_a30.2329318325, 
t1548846922.97 U23.657856505 I-71.9873 T17.375 T_a30.2329318325, 
t1548846923.07 U23.6327793256 I-71.9978 T17.375 T_a30.2329318325, 
t1548846923.18 U23.6627452206 I-72.0084 T17.375 T_a30.2329318325, 
t1548846923.29 U23.6227300069 I-72.0014 T17.375 T_a30.2329318325, 
t1548846923.4 U23.598756505 I-71.9873 T17.375 T_a30.2329318325, 
t1548846923.51 U23.6085793256 I-71.9978 T17.375 T_a30.2329318325, 
t1548846923.61 U23.6111300069 I-72.0014 T17.375 T_a30.2329318325, 
t1548846923.72 U23.6306793256 I-71.9978 T17.375 T_a30.2393166217, 
t1548846923.83 U23.6348376138 I-72.0049 T17.375 T_a30.2393166217, 
t1548846923.94 U23.5996717187 I-71.9943 T17.375 T_a30.2393166217, 
t1548846924.05 U23.610356505 I-71.9873 T17.375 T_a30.2393166217, 
t1548846924.15 U23.6127793256 I-71.9978 T17.375 T_a30.2393166217, 
t1548846924.26 U23.5942300069 I-72.0014 T17.375 T_a30.2393166217, 
t1548846924.37 U23.6137793256 I-71.9978 T17.375 T_a30.2393166217, 
t1548846924.48 U23.5655488981 I-71.9838 T17.375 T_a30.2393166217, 
t1548846924.59 U23.5868300069 I-72.0014 T17.375 T_a30.2393166217, 
t1548846924.69 U23.6021376138 I-72.0049 T17.375 T_a30.2393166217, 
t1548846924.8 U23.5847300069 I-72.0014 T17.375 T_a30.2393166217, 
t1548846924.92 U23.601856505 I-71.9873 T17.375 T_a30.2393166217, 
t1548846925.03 U23.5768793256 I-71.9978 T17.375 T_a30.2393166217, 
t1548846925.14 U23.573356505 I-71.9873 T17.375 T_a30.2393166217, 
t1548846925.25 U23.5643641118 I-71.9908 T17.375 T_a30.4433020096, 
t1548846925.36 U23.5768793256 I-71.9978 T17.375 T_a30.4433020096, 
t1548846925.47 U23.5830376138 I-72.0049 T17.375 T_a30.4433020096, 
t1548846925.57 U23.5632641118 I-71.9908 T17.375 T_a30.4433020096, 
t1548846925.68 U23.5794300069 I-72.0014 T17.375 T_a30.4433020096, 
t1548846925.79 U23.5736793256 I-71.9978 T17.375 T_a30.4433020096, 
t1548846925.91 U23.5435300069 I-72.0014 T17.375 T_a30.4433020096, 
t1548846926.02 U23.5337641118 I-71.9908 T17.375 T_a30.4433020096, 
t1548846926.13 U23.5362717187 I-71.9943 T17.375 T_a30.4433020096, 
t1548846926.24 U23.5689717187 I-71.9943 T17.375 T_a30.4433020096, 
t1548846926.35 U23.5359488981 I-71.9838 T17.375 T_a30.4433020096, 
t1548846926.45 U23.524856505 I-71.9873 T17.375 T_a30.4433020096, 
t1548846926.56 U23.5282793256 I-71.9978 T17.375 T_a30.4433020096, 
t1548846926.67 U23.5261793256 I-71.9978 T17.375 T_a30.4433020096, 
t1548846926.78 U23.5615300069 I-72.0014 T17.375 T_a30.5198836463, 
t1548846926.89 U23.5367793256 I-71.9978 T17.375 T_a30.5198836463, 
t1548846927.0 U23.5240793256 I-71.9978 T17.375 T_a30.5198836463, 
t1548846927.11 U23.5193717187 I-71.9943 T17.375 T_a30.5198836463, 
t1548846927.23 U23.5242641118 I-71.9908 T17.375 T_a30.5198836463, 
t1548846927.33 U23.5330717187 I-71.9943 T17.375 T_a30.5198836463, 
t1548846927.44 U23.5415717187 I-71.9943 T17.375 T_a30.5198836463, 
t1548846927.55 U23.5414300069 I-72.0014 T17.375 T_a30.5198836463, 
t1548846927.66 U23.4948488981 I-71.9838 T17.375 T_a30.5198836463, 
t1548846927.77 U23.498456505 I-71.9873 T17.375 T_a30.5198836463, 
t1548846927.87 U23.5271376138 I-72.0049 T17.375 T_a30.5198836463, 
t1548846927.98 U23.5076300069 I-72.0014 T17.375 T_a30.5198836463, 
t1548846928.09 U23.4958488981 I-71.9838 T17.375 T_a30.5198836463, 
t1548846928.2 U23.4944793256 I-71.9978 T17.375 T_a30.5198836463, 
t1548846928.31 U23.4933376138 I-72.0049 T17.375 T_a30.5198836463, 
t1548846928.41 U23.5210641118 I-71.9908 T17.375 T_a30.660564036, 
t1548846928.52 U23.4872641118 I-71.9908 T17.375 T_a30.660564036, 
t1548846928.63 U23.5296452206 I-72.0084 T17.375 T_a30.660564036, 
t1548846928.74 U23.4817793256 I-71.9978 T17.375 T_a30.660564036, 
t1548846928.85 U23.4990488981 I-71.9838 T17.375 T_a30.660564036, 
t1548846928.95 U23.5182300069 I-72.0014 T17.375 T_a30.660564036, 
t1548846929.06 U23.4886300069 I-72.0014 T17.375 T_a30.660564036, 
t1548846929.17 U23.491056505 I-71.9873 T17.375 T_a30.660564036, 
t1548846929.28 U23.4806376138 I-72.0049 T17.375 T_a30.660564036, 
t1548846929.39 U23.4919717187 I-71.9943 T17.375 T_a30.660564036, 
t1548846929.49 U23.4999641118 I-71.9908 T17.375 T_a30.660564036, 
t1548846929.6 U23.4845717187 I-71.9943 T17.375 T_a30.660564036, 
t1548846929.71 U23.4717300069 I-72.0014 T17.375 T_a30.660564036, 
t1548846929.82 U23.470956505 I-71.9873 T17.375 T_a30.660564036, 
t1548846929.93 U23.472056505 I-71.9873 T17.375 T_a30.9041125049, 
t1548846930.03 U23.4914641118 I-71.9908 T17.375 T_a30.9041125049, 
t1548846930.14 U23.4971717187 I-71.9943 T17.375 T_a30.9041125049, 
t1548846930.25 U23.4504488981 I-71.9838 T17.375 T_a30.9041125049, 
t1548846930.36 U23.4764376138 I-72.0049 T17.375 T_a30.9041125049, 
t1548846930.47 U23.4781300069 I-72.0014 T17.375 T_a30.9041125049, 
t1548846930.57 U23.4830641118 I-71.9908 T17.312 T_a30.9041125049, 
t1548846930.68 U23.477256505 I-71.9873 T17.312 T_a30.9041125049, 
t1548846930.79 U23.4627793256 I-71.9978 T17.312 T_a30.9041125049, 
t1548846930.9 U23.4489376138 I-72.0049 T17.312 T_a30.9041125049, 
t1548846931.01 U23.4722793256 I-71.9978 T17.312 T_a30.9041125049, 
t1548846931.11 U23.4771717187 I-71.9943 T17.312 T_a30.9041125049, 
t1548846931.22 U23.4612300069 I-72.0014 T17.312 T_a30.9041125049, 
t1548846931.33 U23.4370717187 I-71.9943 T17.312 T_a30.9041125049, 
t1548846931.44 U23.4610488981 I-71.9838 T17.312 T_a30.9747196808, 
t1548846931.55 U23.4376641118 I-71.9908 T17.312 T_a30.9747196808, 
t1548846931.65 U23.442456505 I-71.9873 T17.312 T_a30.9747196808, 
t1548846931.76 U23.4522793256 I-71.9978 T17.312 T_a30.9747196808, 
t1548846931.87 U23.4422717187 I-71.9943 T17.312 T_a30.9747196808, 
t1548846931.98 U23.4338717187 I-71.9943 T17.312 T_a30.9747196808, 
t1548846932.09 U23.4591300069 I-72.0014 T17.312 T_a30.9747196808, 
t1548846932.19 U23.4469793256 I-71.9978 T17.312 T_a30.9747196808, 
t1548846932.31 U23.4296717187 I-71.9943 T17.312 T_a30.9747196808, 
t1548846932.42 U23.425556505 I-71.9873 T17.312 T_a30.9747196808, 
t1548846932.53 U23.437156505 I-71.9873 T17.375 T_a30.9747196808, 
t1548846932.63 U23.4327717187 I-71.9943 T17.375 T_a30.9747196808, 
t1548846932.75 U23.4437793256 I-71.9978 T17.375 T_a30.9747196808, 
t1548846932.86 U23.437156505 I-71.9873 T17.375 T_a30.9747196808, 
t1548846932.97 U23.4103488981 I-71.9838 T17.375 T_a31.2256281955, 
t1548846933.07 U23.4454717187 I-71.9943 T17.375 T_a31.2256281955, 
t1548846933.18 U23.4559300069 I-72.0014 T17.375 T_a31.2256281955, 
t1548846933.29 U23.446656505 I-71.9873 T17.375 T_a31.2256281955, 
t1548846933.4 U23.4190717187 I-71.9943 T17.375 T_a31.2256281955, 
t1548846933.51 U23.4099793256 I-71.9978 T17.375 T_a31.2256281955, 
t1548846933.61 U23.4095717187 I-71.9943 T17.375 T_a31.2256281955, 
t1548846933.72 U23.4437793256 I-71.9978 T17.375 T_a31.2256281955, 
t1548846933.83 U23.4190717187 I-71.9943 T17.375 T_a31.2256281955, 
t1548846933.94 U23.4004793256 I-71.9978 T17.375 T_a31.2256281955, 
t1548846934.05 U23.3923488981 I-71.9838 T17.375 T_a31.2256281955, 
t1548846934.15 U23.4228641118 I-71.9908 T17.375 T_a31.2256281955, 
t1548846934.26 U23.4289376138 I-72.0049 T17.375 T_a31.2256281955, 
t1548846934.37 U23.4369300069 I-72.0014 T17.375 T_a31.2256281955, 
t1548846934.48 U23.3828488981 I-71.9838 T17.375 T_a31.4127586274, 
t1548846934.59 U23.3953641118 I-71.9908 T17.375 T_a31.4127586274, 
t1548846934.69 U23.4257376138 I-72.0049 T17.375 T_a31.4127586274, 
t1548846934.8 U23.4027641118 I-71.9908 T17.375 T_a31.4127586274, 
t1548846934.91 U23.4289376138 I-72.0049 T17.375 T_a31.4127586274, 
t1548846935.02 U23.3973793256 I-71.9978 T17.375 T_a31.4127586274, 
t1548846935.13 U23.4047793256 I-71.9978 T17.375 T_a31.4127586274, 
t1548846935.23 U23.388656505 I-71.9873 T17.375 T_a31.4127586274, 
t1548846935.34 U23.3835793256 I-71.9978 T17.375 T_a31.4127586274, 
t1548846935.45 U23.4115300069 I-72.0014 T17.375 T_a31.4127586274, 
t1548846935.56 U23.3728982168 I-71.9802 T17.375 T_a31.4127586274, 
t1548846935.67 U23.3899793256 I-71.9978 T17.375 T_a31.4127586274, 
t1548846935.77 U23.4162376138 I-72.0049 T17.375 T_a31.4127586274, 
t1548846935.88 U23.3968717187 I-71.9943 T17.375 T_a31.4127586274, 
t1548846935.99 U23.380156505 I-71.9873 T17.375 T_a31.4127586274, 
t1548846936.1 U23.4152376138 I-72.0049 T17.375 T_a31.522631615, 
t1548846936.21 U23.3633982168 I-71.9802 T17.375 T_a31.522631615, 
t1548846936.31 U23.4032717187 I-71.9943 T17.375 T_a31.522631615, 
t1548846936.42 U23.3941793256 I-71.9978 T17.375 T_a31.522631615, 
t1548846936.53 U23.4124452206 I-72.0084 T17.375 T_a31.522631615, 
t1548846936.64 U23.383356505 I-71.9873 T17.375 T_a31.522631615, 
t1548846936.75 U23.401256505 I-71.9873 T17.375 T_a31.522631615, 
t1548846936.85 U23.369556505 I-71.9873 T17.375 T_a31.522631615, 
t1548846936.96 U23.3733488981 I-71.9838 T17.375 T_a31.522631615, 
t1548846937.07 U23.3920793256 I-71.9978 T17.375 T_a31.522631615, 
t1548846937.18 U23.3668641118 I-71.9908 T17.375 T_a31.522631615, 
t1548846937.29 U23.3890641118 I-71.9908 T17.375 T_a31.522631615, 
t1548846937.4 U23.3602376138 I-72.0049 T17.375 T_a31.522631615, 
t1548846937.51 U23.3670488981 I-71.9838 T17.375 T_a31.522631615, 
t1548846937.62 U23.3546717187 I-71.9943 T17.375 T_a31.8142131398, 
t1548846937.73 U23.3899793256 I-71.9978 T17.375 T_a31.8142131398, 
t1548846937.84 U23.3620717187 I-71.9943 T17.375 T_a31.8142131398, 
t1548846937.95 U23.3489641118 I-71.9908 T17.375 T_a31.8142131398, 
t1548846938.05 U23.354856505 I-71.9873 T17.375 T_a31.8142131398, 
t1548846938.16 U23.355856505 I-71.9873 T17.375 T_a31.8142131398, 
t1548846938.27 U23.3873300069 I-72.0014 T17.375 T_a31.8142131398, 
t1548846938.38 U23.350556505 I-71.9873 T17.375 T_a31.8142131398, 
t1548846938.49 U23.349556505 I-71.9873 T17.375 T_a31.8142131398, 
t1548846938.59 U23.3688793256 I-71.9978 T17.375 T_a31.8142131398, 
t1548846938.7 U23.3514717187 I-71.9943 T17.375 T_a31.8142131398, 
t1548846938.81 U23.368556505 I-71.9873 T17.375 T_a31.8142131398, 
t1548846938.92 U23.3689641118 I-71.9908 T17.375 T_a31.8142131398, 
t1548846939.03 U23.3362641118 I-71.9908 T17.375 T_a31.8142131398, 
t1548846939.14 U23.3721641118 I-71.9908 T17.375 T_a31.9507049428, 
t1548846939.25 U23.3735300069 I-72.0014 T17.375 T_a31.9507049428, 
t1548846939.36 U23.3394641118 I-71.9908 T17.375 T_a31.9507049428, 
t1548846939.47 U23.3620717187 I-71.9943 T17.375 T_a31.9507049428, 
t1548846939.57 U23.334756505 I-71.9873 T17.375 T_a31.9507049428, 
t1548846939.68 U23.3425641118 I-71.9908 T17.375 T_a31.9507049428, 
t1548846939.79 U23.3514300069 I-72.0014 T17.375 T_a31.9507049428, 
t1548846939.9 U23.3489641118 I-71.9908 T17.375 T_a31.9507049428, 
t1548846940.01 U23.3567717187 I-71.9943 T17.375 T_a31.9507049428, 
t1548846940.11 U23.3381793256 I-71.9978 T17.375 T_a31.9507049428, 
t1548846940.22 U23.3519793256 I-71.9978 T17.375 T_a31.9507049428, 
t1548846940.33 U23.3540793256 I-71.9978 T17.375 T_a31.9507049428, 
t1548846940.44 U23.3531641118 I-71.9908 T17.375 T_a31.9507049428, 
t1548846940.55 U23.3307376138 I-72.0049 T17.375 T_a31.9507049428, 
t1548846940.65 U23.3550793256 I-71.9978 T17.375 T_a32.2504505568, 
t1548846940.76 U23.3465376138 I-72.0049 T17.375 T_a32.2504505568, 
t1548846940.87 U23.3204641118 I-71.9908 T17.375 T_a32.2504505568, 
t1548846940.98 U23.328456505 I-71.9873 T17.375 T_a32.2504505568, 
t1548846941.09 U23.3504717187 I-71.9943 T17.375 T_a32.2504505568, 
t1548846941.19 U23.3461300069 I-72.0014 T17.375 T_a32.2504505568, 
t1548846941.3 U23.3582793256 I-71.9978 T17.375 T_a32.2504505568, 
t1548846941.41 U23.318956505 I-71.9873 T17.375 T_a32.2504505568, 
t1548846941.52 U23.3225641118 I-71.9908 T17.375 T_a32.2504505568, 
t1548846941.63 U23.3318793256 I-71.9978 T17.375 T_a32.2504505568, 
t1548846941.73 U23.3476793256 I-71.9978 T17.375 T_a32.2504505568, 
t1548846941.84 U23.3086793256 I-71.9978 T17.375 T_a32.2504505568, 
t1548846941.95 U23.3350793256 I-71.9978 T17.375 T_a32.2504505568, 
t1548846942.06 U23.3387300069 I-72.0014 T17.375 T_a32.2504505568, 
t1548846942.17 U23.3057488981 I-71.9838 T17.375 T_a32.4269713487, 
t1548846942.27 U23.3328376138 I-72.0049 T17.375 T_a32.4269713487, 
t1548846942.38 U23.3381376138 I-72.0049 T17.375 T_a32.4269713487, 
t1548846942.5 U23.3044793256 I-71.9978 T17.375 T_a32.4269713487, 
t1548846942.61 U23.2997717187 I-71.9943 T17.375 T_a32.4269713487, 
t1548846942.71 U23.324156505 I-71.9873 T17.375 T_a32.4269713487, 
t1548846942.82 U23.3349376138 I-72.0049 T17.375 T_a32.4269713487, 
t1548846942.93 U23.3212376138 I-72.0049 T17.375 T_a32.4269713487, 
t1548846943.04 U23.2862982168 I-71.9802 T17.375 T_a32.4269713487, 
t1548846943.15 U23.2992641118 I-71.9908 T17.375 T_a32.4269713487, 
t1548846943.25 U23.3334300069 I-72.0014 T17.375 T_a32.4269713487, 
t1548846943.36 U23.316756505 I-71.9873 T17.375 T_a32.4269713487, 
t1548846943.47 U23.3330641118 I-71.9908 T17.375 T_a32.4269713487, 
t1548846943.58 U23.291456505 I-71.9873 T17.375 T_a32.4269713487, 
t1548846943.69 U23.2891300069 I-72.0014 T17.375 T_a32.4269713487, 
t1548846943.8 U23.3223793256 I-71.9978 T17.375 T_a32.61701371, 
t1548846943.91 U23.2899488981 I-71.9838 T17.375 T_a32.61701371, 
t1548846944.02 U23.2887641118 I-71.9908 T17.375 T_a32.61701371, 
t1548846944.13 U23.3170793256 I-71.9978 T17.375 T_a32.61701371, 
t1548846944.24 U23.3090452206 I-72.0084 T17.375 T_a32.61701371, 
t1548846944.35 U23.2792641118 I-71.9908 T17.375 T_a32.61701371, 
t1548846944.45 U23.302056505 I-71.9873 T17.375 T_a32.61701371, 
t1548846944.56 U23.2801793256 I-71.9978 T17.375 T_a32.61701371, 
t1548846944.67 U23.3170793256 I-71.9978 T17.375 T_a32.61701371, 
t1548846944.78 U23.2976717187 I-71.9943 T17.375 T_a32.61701371, 
t1548846944.89 U23.2860717187 I-71.9943 T17.375 T_a32.61701371, 
t1548846944.99 U23.2827300069 I-72.0014 T17.375 T_a32.61701371, 
t1548846945.1 U23.2859300069 I-72.0014 T17.375 T_a32.61701371, 
t1548846945.21 U23.2997717187 I-71.9943 T17.375 T_a32.61701371, 
t1548846945.32 U23.2663793256 I-71.9978 T17.375 T_a32.8733603344, 
t1548846945.43 U23.2970793256 I-71.9978 T17.375 T_a32.8733603344, 
t1548846945.53 U23.2659717187 I-71.9943 T17.375 T_a32.8733603344, 
t1548846945.64 U23.2667488981 I-71.9838 T17.375 T_a32.8733603344, 
t1548846945.75 U23.3018717187 I-71.9943 T17.375 T_a32.8733603344, 
t1548846945.86 U23.2663376138 I-72.0049 T17.375 T_a32.8733603344, 
t1548846945.97 U23.3001793256 I-71.9978 T17.375 T_a32.8733603344, 
t1548846946.07 U23.2881717187 I-71.9943 T17.375 T_a32.8733603344, 
t1548846946.18 U23.2627717187 I-71.9943 T17.375 T_a32.8733603344, 
t1548846946.29 U23.256656505 I-71.9873 T17.375 T_a32.8733603344, 
t1548846946.4 U23.2538641118 I-71.9908 T17.375 T_a32.8733603344, 
t1548846946.51 U23.2881717187 I-71.9943 T17.375 T_a32.8733603344, 
t1548846946.61 U23.2931488981 I-71.9838 T17.375 T_a32.8733603344, 
t1548846946.72 U23.2786717187 I-71.9943 T17.375 T_a32.8733603344, 
t1548846946.83 U23.2821376138 I-72.0049 T17.375 T_a33.1173531753, 
t1548846946.94 U23.2722717187 I-71.9943 T17.375 T_a33.1173531753, 
t1548846947.05 U23.2691717187 I-71.9943 T17.375 T_a33.1173531753, 
t1548846947.15 U23.2574717187 I-71.9943 T17.375 T_a33.1173531753, 
t1548846947.26 U23.2621793256 I-71.9978 T17.375 T_a33.1173531753, 
t1548846947.37 U23.2452793256 I-71.9978 T17.375 T_a33.1173531753, 
t1548846947.48 U23.243956505 I-71.9873 T17.375 T_a33.1173531753, 
t1548846947.59 U23.2707641118 I-71.9908 T17.375 T_a33.1173531753, 
t1548846947.7 U23.249256505 I-71.9873 T17.375 T_a33.1173531753, 
t1548846947.81 U23.261856505 I-71.9873 T17.375 T_a33.1173531753, 
t1548846947.93 U23.2621793256 I-71.9978 T17.375 T_a33.1173531753, 
t1548846948.04 U23.268256505 I-71.9873 T17.375 T_a33.1173531753, 
t1548846948.15 U23.251356505 I-71.9873 T17.375 T_a33.1173531753, 
t1548846948.26 U23.2437300069 I-72.0014 T17.375 T_a33.1173531753, 
t1548846948.37 U23.2426300069 I-72.0014 T17.375 T_a33.3688276682, 
t1548846948.47 U23.2632793256 I-71.9978 T17.375 T_a33.3688276682, 
t1548846948.58 U23.2800376138 I-72.0049 T17.375 T_a33.3688276682, 
t1548846948.69 U23.2469717187 I-71.9943 T17.375 T_a33.3688276682, 
t1548846948.8 U23.2473793256 I-71.9978 T17.375 T_a33.3688276682, 
t1548846948.91 U23.2543717187 I-71.9943 T17.375 T_a33.3688276682, 
t1548846949.01 U23.2525376138 I-72.0049 T17.375 T_a33.3688276682, 
t1548846949.12 U23.2632793256 I-71.9978 T17.375 T_a33.3688276682, 
t1548846949.23 U23.2454641118 I-71.9908 T17.375 T_a33.3688276682, 
t1548846949.34 U23.2581641118 I-71.9908 T17.375 T_a33.3688276682, 
t1548846949.45 U23.2595300069 I-72.0014 T17.375 T_a33.3688276682, 
t1548846949.55 U23.2243641118 I-71.9908 T17.375 T_a33.3688276682, 
t1548846949.66 U23.2317641118 I-71.9908 T17.375 T_a33.3688276682, 
t1548846949.77 U23.2410793256 I-71.9978 T17.375 T_a33.3688276682, 
t1548846949.88 U23.2524982168 I-71.9802 T17.375 T_a33.5679996972, 
t1548846949.99 U23.254456505 I-71.9873 T17.375 T_a33.5679996972, 
t1548846950.1 U23.2416717187 I-71.9943 T17.375 T_a33.5679996972, 
t1548846950.21 U23.2353717187 I-71.9943 T17.375 T_a33.5679996972, 
t1548846950.31 U23.2178793256 I-71.9978 T17.375 T_a33.5679996972, 
t1548846950.42 U23.2412641118 I-71.9908 T17.375 T_a33.5679996972, 
t1548846950.53 U23.2406717187 I-71.9943 T17.375 T_a33.5679996972, 
t1548846950.64 U23.2325793256 I-71.9978 T17.375 T_a33.5679996972, 
t1548846950.75 U23.2169641118 I-71.9908 T17.375 T_a33.5679996972, 
t1548846950.86 U23.224956505 I-71.9873 T17.375 T_a33.5679996972, 
t1548846950.97 U23.2107488981 I-71.9838 T17.375 T_a33.5679996972, 
t1548846951.07 U23.2363717187 I-71.9943 T17.375 T_a33.5679996972, 
t1548846951.18 U23.2156376138 I-72.0049 T17.375 T_a33.5679996972, 
t1548846951.29 U23.2353717187 I-71.9943 T17.375 T_a33.5679996972, 
t1548846951.4 U23.2310717187 I-71.9943 T17.375 T_a33.921172682, 
t1548846951.51 U23.2004717187 I-71.9943 T17.375 T_a33.921172682, 
t1548846951.61 U23.2462376138 I-72.0049 T17.375 T_a33.921172682, 
t1548846951.72 U23.2373300069 I-72.0014 T17.375 T_a33.921172682, 
t1548846951.83 U23.205956505 I-71.9873 T17.375 T_a33.921172682, 
t1548846951.94 U23.2110717187 I-71.9943 T17.375 T_a33.921172682, 
t1548846952.05 U23.201756505 I-71.9873 T17.375 T_a33.921172682, 
t1548846952.15 U23.2025717187 I-71.9943 T17.375 T_a33.921172682, 
t1548846952.26 U23.1987376138 I-72.0049 T17.375 T_a33.921172682, 
t1548846952.37 U23.2109300069 I-72.0014 T17.375 T_a33.921172682, 
t1548846952.48 U23.2258717187 I-71.9943 T17.375 T_a33.921172682, 
t1548846952.59 U23.2089717187 I-71.9943 T17.375 T_a33.921172682, 
t1548846952.69 U23.1983717187 I-71.9943 T17.375 T_a33.921172682, 
t1548846952.8 U23.2278300069 I-72.0014 T17.375 T_a33.921172682, 
t1548846952.91 U23.2054488981 I-71.9838 T17.375 T_a33.921172682, 
t1548846953.02 U23.2148641118 I-71.9908 T17.375 T_a34.0683137478, 
t1548846953.13 U23.2125793256 I-71.9978 T17.375 T_a34.0683137478, 
t1548846953.23 U23.1810641118 I-71.9908 T17.375 T_a34.0683137478, 
t1548846953.34 U23.2099300069 I-72.0014 T17.375 T_a34.0683137478, 
t1548846953.45 U23.2314376138 I-72.0049 T17.375 T_a34.0683137478, 
t1548846953.56 U23.2025717187 I-71.9943 T17.375 T_a34.0683137478, 
t1548846953.67 U23.1811488981 I-71.9838 T17.375 T_a34.0683137478, 
t1548846953.77 U23.2009793256 I-71.9978 T17.375 T_a34.0683137478, 
t1548846953.88 U23.1930300069 I-72.0014 T17.375 T_a34.0683137478, 
t1548846953.99 U23.2194717187 I-71.9943 T17.375 T_a34.0683137478, 
t1548846954.1 U23.2190641118 I-71.9908 T17.375 T_a34.0683137478, 
