t1550845628.57 U25.1616 I-0.1302 T_a14.437 T_p13.9402206276 R14.437, 
t1550845638.59 U25.1986 I0.2252 T_a14.437 T_p13.9028284657 R14.437, 
t1550845648.61 U25.1954 I0.1971 T_a14.437 T_p13.8761185336 R14.437, 
t1550845669.74 U21.009656225 I-71.9873 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845669.85 U21.0343812318 I-71.9908 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845669.96 U21.006556225 I-71.9873 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845670.07 U20.998056225 I-71.9873 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845670.17 U20.9909654968 I-71.9802 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845670.28 U21.0051312181 I-71.9838 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845670.39 U21.0115062387 I-71.9943 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845670.5 U21.0115062387 I-71.9943 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845670.61 U21.0001404899 I-71.9767 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845670.71 U20.9836812318 I-71.9908 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845670.82 U20.9867812318 I-71.9908 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845670.93 U20.9910812318 I-71.9908 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845671.04 U21.0110812318 I-71.9908 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845671.15 U20.974856225 I-71.9873 T_a14.5 T_p14.4740895645 R0.407144818947, 
t1550845671.25 U20.9791312456 I-71.9978 T_a14.5 T_p14.6341438108 R0.407144818947, 
t1550845671.36 U20.9723312181 I-71.9838 T_a14.5 T_p14.6341438108 R0.407144818947, 
t1550845671.47 U21.0002312456 I-71.9978 T_a14.5 T_p14.6341438108 R0.407144818947, 
