t1553596939.31 U25.1426 I-0.0774 T_a14.312 T_p13.8761192257 R14.312, 
t1553596949.33 U25.2007 I0.3378 T_a14.375 T_p13.860089412 R14.375, 
t1553596959.35 U25.1944 I0.2815 T_a14.375 T_p13.9829516233 R14.375, 
t1553596980.48 U19.9959167266 I-80.9813 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596980.59 U20.0146824754 I-80.9989 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596980.7 U19.9777824754 I-80.9989 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596980.81 U19.9794417334 I-80.9848 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596980.91 U19.9751417334 I-80.9848 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596981.02 U19.9601324617 I-80.9919 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596981.13 U19.9749324617 I-80.9919 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596981.24 U19.9632167266 I-80.9813 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596981.35 U19.9860667403 I-80.9883 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596981.45 U19.9677417334 I-80.9848 T_a14.312 T_p14.5647910619 R0.407144818947, 
t1553596981.56 U19.9928324617 I-80.9919 T_a14.312 T_p14.698149893 R0.407144818947, 
t1553596981.67 U19.9664324617 I-80.9919 T_a14.312 T_p14.698149893 R0.407144818947, 
t1553596981.78 U19.9632324617 I-80.9919 T_a14.312 T_p14.698149893 R0.407144818947, 
t1553596981.89 U19.9568167266 I-80.9813 T_a14.312 T_p14.698149893 R0.407144818947, 
t1553596981.99 U19.9667417334 I-80.9848 T_a14.312 T_p14.698149893 R0.407144818947, 
t1553596982.1 U19.9411324617 I-80.9919 T_a14.312 T_p14.698149893 R0.407144818947, 
t1553596982.21 U19.9777824754 I-80.9989 T_a14.312 T_p14.698149893 R0.407144818947, 
