t0.0079288482666 U0.0048 I38.714
t0.0277349948883 U25.0026 I0.084
t0.047858953476 U25.0042 I0.0552
t0.0679738521576 U25.0058 I0.0456
t0.0877130031586 U25.0058 I0.0408
t0.107857942581 U25.0058 I0.0384
t0.127965927124 U25.0058 I0.0384
t0.147713899612 U25.0058 I0.0384
t0.167841911316 U25.0042 I0.0336
t0.187980890274 U25.0058 I0.0384
t0.207732915878 U25.0042 I0.0288
t0.227860927582 U25.0042 I0.0384
t0.247980833054 U25.0058 I0.0312
t0.267725944519 U25.0074 I0.0336
t0.287866830826 U25.0058 I0.036
t0.307983875275 U25.0042 I0.0336
t0.32772397995 U25.0058 I0.0336
t0.347867965698 U25.0042 I0.0312
t0.367991924286 U25.0058 I0.0336
t0.387745857239 U25.0058 I0.0312
t0.4078810215 U25.0042 I0.0288
t0.427943944931 U25.0058 I0.0312
t0.447733879089 U25.0058 I0.0288
t0.467880964279 U25.0042 I0.0336
t0.487948894501 U25.0042 I0.0312
t0.50776386261 U25.0058 I0.0336
t0.527871847153 U25.0058 I0.0312
t0.548074007034 U25.0042 I0.0312
t0.567752838135 U25.0058 I0.0336
t0.587888002396 U25.0058 I0.0312
t0.607955932617 U25.0058 I0.0336
t0.627755880356 U25.0042 I0.0336
t0.647878885269 U25.0058 I0.0312
t0.668004989624 U25.0058 I0.0312
t0.687758922577 U25.0042 I0.0312
t0.707898855209 U25.0058 I0.0312
t0.728010892868 U25.0042 I0.0288
t0.747767925262 U25.0058 I0.0336
t0.768199920654 U25.0058 I0.0288
t0.78801202774 U25.0042 I0.0336
t0.807749986649 U25.0058 I0.0288
t0.827895879745 U25.0058 I0.0336
t0.8480219841 U25.0058 I0.036
t0.86775803566 U25.0058 I0.0288
t0.887905836105 U25.0058 I0.0312
t0.908023834229 U25.0058 I0.0312
t0.935968875885 U25.0058 I0.0336
t0.956023931503 U25.0058 I0.036
t0.975777864456 U25.0042 I0.0288
t0.995926856995 U25.0058 I0.0264
t1.01598405838 U25.0074 I0.0312
t1.06789088249 U25.0058 I0.0336
t1.08793783188 U25.0042 I0.0384
t1.10835194588 U25.0058 I0.024
t1.12777400017 U25.0042 I0.024
t1.14803385735 U25.0026 I0.0312
t1.16791796684 U25.0026 I0.0336
t1.18778586388 U25.0026 I0.0336
t1.20805501938 U25.0026 I0.0288
t1.22793388367 U25.0026 I0.0264
t1.24779391289 U25.0026 I0.0312
t1.26804590225 U25.0042 I0.0288
t1.28793692589 U25.0042 I0.024
t1.30779290199 U25.0026 I0.0312
t1.32800197601 U25.0026 I0.036
t1.34793305397 U25.0042 I0.036
t1.36780285835 U24.9962 I0.0816
t1.38805484772 U25.017 I0.2544
t1.40794992447 U24.9994 I0.0528
t1.42781090736 U25.0202 I0.0696
t1.44800806046 U24.9851 I0.1152
t1.46793484688 U25.0122 I0.2184
t1.48779797554 U25.0042 I0.0504
t1.50806283951 U25.0218 I0.0552
t1.52793502808 U25.0154 I0.1392
t1.5478079319 U24.9898 I0.192
t1.56806397438 U25.0042 I0.2568
t1.58851885796 U25.0266 I0.0528
t1.60782885551 U25.0202 I0.1848
t1.62802004814 U24.9755 I0.1152
t1.64794301987 U25.0026 I0.2208
t1.66781592369 U25.0042 I0.0504
t1.68802690506 U25.025 I0.2232
t1.70797896385 U24.9739 I0.1464
t1.72783088684 U25.0074 I0.2016
t1.75182104111 U25.0042 I0.264
t1.77207684517 U24.9898 I0.2136
t1.79196500778 U25.0138 I0.0936
t1.81184101105 U25.0058 I0.084
t1.83203196526 U25.017 I0.0552
t1.85195398331 U24.993 I0.2496
t1.87182402611 U25.0026 I0.0312
t1.8920340538 U25.0026 I0.036
t1.91199803352 U25.0042 I0.036
t1.93183994293 U25.0042 I0.0336
t1.95209693909 U25.0042 I0.036
t1.97198605537 U25.0026 I0.0336
t1.99183487892 U25.0042 I0.0336
t2.01209282875 U25.0026 I0.0312
t2.03197383881 U25.0042 I0.0312
t2.05183982849 U25.0026 I0.0264
t2.07210183144 U25.0026 I0.0312
t2.09197402 U25.0026 I0.0336
t2.11185503006 U25.0042 I0.0288
t2.13209986687 U25.0026 I0.0336
t2.15197992325 U25.0026 I0.036
t2.17185497284 U25.001 I0.0336
t2.19209885597 U25.0042 I0.0288
t2.21197986603 U25.0026 I0.0312
t2.23184490204 U25.0026 I0.0312
t2.25210595131 U25.0026 I0.036
t2.27199697495 U25.0026 I0.0288
t2.29187202454 U25.0026 I0.0336
t2.31211686134 U25.0026 I0.0336
t2.33199191093 U25.0026 I0.0312
t2.35186195374 U25.0026 I0.0288
t2.37206792831 U25.0042 I0.0336
t2.39198994637 U25.0042 I0.0312
t2.41186189651 U25.0026 I0.0288
t2.43212890625 U25.0042 I0.0312
t2.45200800896 U25.0026 I0.0312
t2.47187590599 U25.0026 I0.0336
t2.49212193489 U25.0026 I0.036
t2.51198983192 U25.0026 I0.036
t2.53186988831 U25.0026 I0.0312
t2.55212402344 U25.0026 I0.0312
t2.5720038414 U25.0042 I0.0336
t2.59188699722 U25.0042 I0.0312
t2.61213302612 U25.0042 I0.0312
t2.63204693794 U25.0042 I0.0312
t2.65188884735 U25.0026 I0.0312
t2.672082901 U25.0042 I0.0336
t2.69202184677 U25.0042 I0.0264
t2.71188092232 U25.0042 I0.0312
t2.73213195801 U25.0042 I0.0312
t2.75201892853 U25.0042 I0.0336
t2.77188897133 U25.0042 I0.0288
t2.79214692116 U25.0042 I0.0288
t2.812032938 U25.0042 I0.036
t2.83189797401 U25.0042 I0.0312
t2.8559589386 U25.0042 I0.0288
t2.87611103058 U25.0042 I0.0312
t2.8960249424 U25.0042 I0.0504
t2.91589999199 U25.0042 I0.048
t2.93611884117 U25.0026 I0.0504
t2.9560379982 U25.0042 I0.0504
t2.97590684891 U25.0026 I0.0504
t2.9961578846 U25.0026 I0.048
t3.01604986191 U25.0042 I0.0504
t3.03591489792 U25.0026 I0.0504
t3.05612683296 U25.0026 I0.0504
t3.07604694366 U25.0026 I0.0504
t3.09591197968 U25.0026 I0.048
t3.11612892151 U25.0026 I0.0504
t3.13605499268 U25.0042 I0.0504
t3.15592503548 U25.0026 I0.0456
t3.17618298531 U25.0026 I0.0528
t3.19606184959 U25.0042 I0.0528
t3.21592092514 U25.001 I0.048
t3.23617196083 U25.0042 I0.0504
t3.25606799126 U25.0042 I0.0504
t3.27592086792 U25.0026 I0.0504
t3.29617905617 U25.0026 I0.0456
t3.31606197357 U25.0026 I0.048
t3.33593297005 U25.0026 I0.0504
t3.35620999336 U25.0026 I0.0528
t3.37607192993 U25.0026 I0.0528
t3.39592885971 U25.0026 I0.0456
t3.41614294052 U25.0026 I0.048
t3.43605685234 U25.0042 I0.048
t3.45593690872 U25.0026 I0.0504
t3.47619104385 U25.0026 I0.0528
t3.50019788742 U25.0058 I0.0744
t3.52007985115 U25.0058 I0.108
t3.53995203972 U25.001 I0.1368
t3.56015205383 U25.0026 I0.2376
t3.58012986183 U25.0058 I0.2328
t3.5999379158 U25.001 I0.4008
t3.62015390396 U25.001 I0.492
t3.64006900787 U25.0026 I0.7224
t3.65994000435 U25.0042 I0.9984
t3.68020701408 U25.001 I0.6864
