t0.0118370056152 U0.0048 I0.0
t0.0319859981537 U0.0032 I37.9364
t0.0520598888397 U25.0058 I0.0768
t0.0718038082123 U25.0042 I0.0504
t0.0919327735901 U25.0042 I0.0456
t0.112056970596 U25.0042 I0.0384
t0.131802797318 U25.0058 I0.0384
t0.151971817017 U25.0058 I0.0384
t0.172145843506 U25.0058 I0.0336
t0.191800832748 U25.0026 I0.036
t0.211927890778 U25.0042 I0.036
t0.232051849365 U25.0042 I0.036
t0.251805782318 U25.0042 I0.0312
t0.271923780441 U25.0042 I0.0288
t0.292052984238 U25.0058 I0.0312
t0.311803817749 U25.0058 I0.0264
t0.331965923309 U25.0042 I0.0312
t0.35205078125 U25.0042 I0.0288
t0.37180185318 U25.0058 I0.0264
t0.391923904419 U25.0058 I0.0336
t0.412047863007 U25.0042 I0.0312
t0.432398796082 U25.0058 I0.0288
t0.451924800873 U25.0058 I0.0312
t0.472078800201 U25.0058 I0.0288
t0.491830825806 U25.0042 I0.0336
t0.511929988861 U25.0058 I0.0336
t0.532050848007 U25.0074 I0.0336
t0.551796913147 U25.0058 I0.0336
t0.571922779083 U25.0058 I0.036
t0.592046976089 U25.0058 I0.0336
t0.611794948578 U25.0042 I0.0288
t0.632053852081 U25.0058 I0.0336
t0.652049779892 U25.0058 I0.0288
t0.671806812286 U25.0042 I0.0312
t0.691968917847 U25.0042 I0.0288
t0.712045907974 U25.0042 I0.0336
t0.731797933578 U25.0042 I0.0312
t0.751925945282 U25.0042 I0.0312
t0.772042989731 U25.0058 I0.0312
t0.791795969009 U25.0058 I0.0288
t0.811924934387 U25.0058 I0.0336
t0.832044839859 U25.0058 I0.0312
t0.851828813553 U25.0058 I0.0264
t0.871967792511 U25.0058 I0.0288
t0.89204287529 U25.0042 I0.0288
t0.91180896759 U25.0042 I0.0312
t0.931924819946 U25.0058 I0.0288
t0.952076911926 U25.0042 I0.0288
t0.971799850464 U25.0042 I0.0336
t0.991967916489 U25.0042 I0.0264
t1.0138399601 U25.0058 I0.0336
t1.03180885315 U25.0042 I0.0264
t1.05192494392 U25.0026 I0.0288
t1.07212591171 U25.0042 I0.036
t1.09179997444 U25.0042 I0.0288
t1.11192798615 U25.0042 I0.0336
t1.13205885887 U25.0042 I0.0312
t1.15179586411 U25.0042 I0.0336
t1.17222094536 U25.0042 I0.0384
t1.19204282761 U25.0058 I0.0336
t1.21179294586 U25.0042 I0.0336
t1.23198080063 U25.0058 I0.0336
t1.25204181671 U25.0042 I0.0312
t1.27179479599 U25.0042 I0.0336
t1.2919178009 U25.0058 I0.0312
t1.31204485893 U25.0058 I0.0384
t1.33179783821 U25.0058 I0.036
t1.3519718647 U25.0058 I0.0312
t1.37205290794 U25.0058 I0.036
t1.39179086685 U25.0122 I0.0792
t1.41192293167 U25.0042 I0.0864
t1.43203687668 U25.0186 I0.0528
t1.45179390907 U24.9962 I0.2712
t1.47192597389 U24.9691 I0.1056
t1.49205183983 U25.0074 I0.096
t1.51183080673 U25.0138 I0.0552
t1.53192400932 U24.9962 I0.2856
t1.55204391479 U24.9707 I0.0864
t1.57181882858 U25.0106 I0.192
t1.59192180634 U25.017 I0.0576
t1.61203384399 U25.0298 I0.2784
t1.6317858696 U24.9691 I0.096
t1.65195798874 U25.0074 I0.2112
t1.67210578918 U25.0202 I0.0648
t1.69183897972 U25.0282 I0.2568
t1.71192288399 U24.9707 I0.168
t1.73203277588 U25.0058 I0.1824
t1.75179481506 U25.0042 I0.06
t1.77192378044 U25.0266 I0.264
t1.79204678535 U24.9659 I0.1872
t1.81178998947 U24.9946 I0.2184
t1.8319208622 U25.0026 I0.0672
t1.85595989227 U25.0266 I0.2328
t1.87606978416 U25.0106 I0.132
t1.89582800865 U25.0026 I0.0312
t1.91591882706 U25.0026 I0.0336
t1.93602895737 U25.0026 I0.0312
t1.95578479767 U25.0026 I0.0336
t1.97591400146 U25.0026 I0.0336
t1.99603796005 U25.0026 I0.0336
t2.01578879356 U25.0042 I0.036
t2.03591895103 U25.001 I0.0336
t2.05604696274 U25.0042 I0.0312
t2.07578992844 U25.0026 I0.0288
t2.09591794014 U25.0042 I0.0264
t2.11603879929 U25.0026 I0.0336
t2.13579487801 U25.0042 I0.0312
t2.15591597557 U25.0026 I0.0288
t2.17602777481 U25.0042 I0.0336
t2.19581985474 U25.0042 I0.0336
t2.21595978737 U25.0026 I0.0312
t2.23607587814 U25.001 I0.0336
t2.25584292412 U25.0026 I0.0264
t2.27591991425 U25.0026 I0.0408
t2.29605984688 U25.0026 I0.036
t2.31577992439 U25.0042 I0.0336
t2.33591794968 U25.0042 I0.0288
t2.35604596138 U25.0042 I0.0312
t2.37578892708 U25.0026 I0.0264
t2.39596486092 U25.001 I0.0336
t2.41603779793 U25.0026 I0.0336
t2.43579483032 U25.0026 I0.024
t2.45591878891 U25.0042 I0.0288
t2.47603678703 U25.0042 I0.0288
t2.49578881264 U25.0026 I0.0312
t2.51591777802 U25.0026 I0.0336
t2.53604698181 U25.0026 I0.0312
t2.55579590797 U25.0026 I0.036
t2.57595777512 U25.0042 I0.0288
t2.5960419178 U25.0042 I0.0312
t2.61581778526 U25.0042 I0.0312
t2.63591694832 U25.0042 I0.0264
t2.65602684021 U25.0042 I0.0336
t2.67578983307 U25.0026 I0.0288
t2.6959168911 U25.0042 I0.0312
t2.7160718441 U25.0026 I0.0336
t2.73582577705 U25.0026 I0.0336
t2.75595188141 U25.0026 I0.0312
t2.77604579926 U25.0042 I0.0264
t2.79578089714 U25.0026 I0.0312
t2.81591582298 U25.0026 I0.0312
t2.83602786064 U25.001 I0.0336
t2.85578298569 U25.001 I0.0288
t2.87595582008 U25.001 I0.0288
t2.89604687691 U25.0026 I0.0312
t2.91582584381 U25.0026 I0.0288
t2.93595981598 U25.0026 I0.0288
t2.95603489876 U25.0042 I0.0312
t2.97578978539 U25.001 I0.0288
t2.99591493607 U25.0026 I0.0336
t3.01603388786 U25.0042 I0.0312
t3.03579092026 U25.0026 I0.0312
t3.05596280098 U25.0026 I0.0312
t3.07603693008 U25.0026 I0.0312
t3.09578800201 U25.001 I0.048
t3.116147995 U25.0026 I0.048
t3.13604879379 U25.0026 I0.048
t3.15578889847 U25.0026 I0.0504
t3.1759159565 U25.0026 I0.0504
t3.19602489471 U25.0026 I0.0504
t3.21579194069 U25.0042 I0.048
t3.23595786095 U25.0042 I0.0504
t3.25604200363 U25.0026 I0.0504
t3.27578687668 U25.0026 I0.0528
t3.29591488838 U25.0042 I0.048
t3.31603479385 U25.001 I0.0528
t3.33578491211 U25.0042 I0.0552
t3.35591197014 U25.0042 I0.048
t3.37658691406 U25.0042 I0.0528
t3.39639782906 U25.0042 I0.048
t3.41654086113 U25.0026 I0.0552
t3.44167089462 U25.0026 I0.0528
t3.46392893791 U25.0042 I0.0504
t3.48404097557 U25.0026 I0.0504
t3.50379085541 U25.0026 I0.048
t3.52391982079 U25.0026 I0.0504
t3.54402494431 U25.0042 I0.048
t3.56379079819 U25.0026 I0.0528
t3.58391499519 U25.0042 I0.0528
t3.60795783997 U25.0026 I0.0432
t3.62804198265 U25.0026 I0.0456
t3.64778399467 U25.0026 I0.0504
t3.66791987419 U25.0026 I0.0528
t3.68803882599 U25.0026 I0.0624
t3.70779180527 U25.0026 I0.0528
t3.72791385651 U25.0026 I0.0528
t3.7480199337 U25.0042 I0.0552
t3.76780796051 U25.0026 I0.0576
t3.78791189194 U25.001 I0.0624
t3.8080239296 U25.0026 I0.0624
t3.8277888298 U25.001 I0.0528
t3.84795689583 U25.0026 I0.1416
t3.86805796623 U24.9978 I0.3144
t3.88778400421 U25.0042 I0.4728
t3.90790891647 U25.0074 I0.7368
t3.92803192139 U25.0042 I1.0176
t3.94778084755 U25.0058 I0.9144
t3.96791100502 U25.001 I0.6168
t3.98802781105 U24.9994 I0.6168
t4.00779485703 U25.0058 I0.5784
t4.02795791626 U24.9978 I0.6528
t4.04807496071 U25.001 I0.6456
t4.06779289246 U24.9962 I0.6672
t4.08791089058 U25.0026 I0.5904
t4.1080198288 U24.9994 I0.6144
t4.12777900696 U25.0026 I0.6552
t4.14790987968 U25.0106 I0.708
t4.16803598404 U25.0058 I0.6048
t4.18781399727 U25.001 I0.564
t4.20795679092 U25.0042 I0.648
t4.22802686691 U25.0154 I0.7344
t4.24778389931 U25.0058 I0.6576
t4.26791286469 U25.0042 I0.5784
t4.2880449295 U25.001 I0.5856
t4.3077788353 U25.0058 I0.6816
t4.32791590691 U25.0026 I0.7008
t4.34803080559 U25.0058 I0.5736
t4.36778783798 U25.0042 I0.6192
t4.38791298866 U25.0122 I0.5784
t4.40803480148 U25.0074 I0.6624
t4.42778396606 U24.9994 I0.5928
t4.44791293144 U24.9994 I0.6696
t4.46802091599 U25.009 I0.7776
t4.48777794838 U25.001 I0.6552
t4.50795388222 U25.0026 I0.6504
t4.52803683281 U25.0154 I0.7032
t4.54778885841 U25.0106 I0.7872
t4.567953825 U25.0042 I0.7104
t4.58802199364 U25.0122 I0.6744
t4.60777997971 U25.0058 I0.6312
t4.62790799141 U25.0074 I0.708
t4.64802980423 U25.001 I0.6216
t4.66778182983 U25.001 I0.6792
t4.687915802 U25.009 I0.696
t4.70806598663 U25.017 I0.6312
t4.72778487206 U25.0058 I0.72
t4.74791193008 U25.0106 I0.828
t4.76802182198 U25.0026 I0.7512
t4.78777885437 U24.9994 I0.6504
t4.80790996552 U25.0058 I0.6552
t4.82802200317 U25.0058 I0.6744
t4.84778881073 U25.001 I0.6456
t4.86795783043 U25.0026 I0.6768
t4.8880507946 U25.0074 I0.696
t4.90778398514 U25.0122 I0.6504
t4.92791295052 U25.009 I0.756
t4.94802284241 U25.0138 I0.7608
t4.96777796745 U25.0026 I0.7776
t4.98791193962 U25.0042 I0.78
t5.00802493095 U25.0058 I0.636
t5.02777194977 U25.0074 I0.6504
t5.05178380013 U25.001 I0.6408
t5.07197093964 U24.9994 I0.6312
t5.09202885628 U24.9962 I0.6312
t5.11178398132 U24.9994 I0.6288
t5.13190484047 U25.0042 I0.7368
t5.15201878548 U24.9962 I0.696
t5.17199397087 U25.0026 I0.72
t5.19190597534 U25.0042 I0.7248
t5.21202778816 U25.0026 I0.7128
t5.23180389404 U24.9962 I0.6456
t5.25195097923 U25.0026 I0.7272
t5.27202677727 U25.0058 I0.6432
t5.29177999496 U24.9978 I0.6504
t5.31190395355 U25.0042 I0.6768
t5.33205199242 U25.017 I0.7392
t5.35509586334 U24.9994 I0.732
t5.37190294266 U25.0106 I0.7632
t5.39203500748 U25.0042 I0.708
t5.41178178787 U25.0058 I0.6744
t5.43198800087 U24.9978 I0.6504
t5.45203590393 U25.0026 I0.6816
t5.47177600861 U25.0042 I0.624
t5.49190282822 U24.9994 I0.6888
t5.51198482513 U25.0154 I0.6336
t5.53177189827 U25.0058 I0.684
t5.55191493034 U25.0138 I0.7872
t5.57203698158 U25.0058 I0.7824
t5.59178781509 U25.0026 I0.7776
t5.61190986633 U24.9994 I0.6384
t5.63202500343 U25.0026 I0.6792
t5.65179991722 U24.9994 I0.6312
t5.67198991776 U24.9994 I0.7056
t5.69203495979 U25.0026 I0.7176
t5.71179389954 U25.0122 I0.7776
t5.73191690445 U24.9994 I0.744
t5.75205087662 U25.0074 I0.828
t5.7717897892 U25.0058 I0.8136
t5.79194879532 U24.9994 I0.792
t5.81198596954 U24.9946 I0.636
t5.83177900314 U24.9946 I0.7008
t5.85190391541 U24.9962 I0.648
t5.87202787399 U24.9946 I0.732
t5.89177584648 U24.9962 I0.7224
t5.91191077232 U25.0042 I0.7104
t5.9320268631 U24.9962 I0.7176
t5.95177793503 U25.001 I0.7776
t5.97206997871 U25.0042 I0.72
t5.99201989174 U24.9962 I0.7752
t6.01177883148 U24.9946 I0.648
t6.0319018364 U24.9978 I0.6216
t6.05376291275 U24.9946 I0.6096
t6.07177877426 U24.9978 I0.6504
t6.09191679955 U24.9962 I0.7104
t6.11202692986 U25.0026 I0.6984
t6.13177990913 U25.0026 I0.7272
t6.15190291405 U25.0058 I0.72
t6.17210793495 U25.0026 I0.7032
t6.1917719841 U24.9978 I0.6528
t6.21190595627 U25.0026 I0.7248
t6.23202395439 U24.9978 I0.6576
t6.25177598 U24.9994 I0.6456
t6.27194690704 U25.0058 I0.6624
t6.29201388359 U25.0154 I0.7632
t6.31177783012 U25.0026 I0.7248
t6.3319029808 U25.001 I0.7104
t6.35201478004 U25.0042 I0.6504
t6.37177395821 U25.001 I0.6552
t6.39190292358 U24.9978 I0.6336
t6.4120259285 U25.0074 I0.6312
t6.4321398735 U24.9994 I0.6408
t6.45191884041 U25.0058 I0.6816
t6.47205090523 U25.0138 I0.6528
t6.49177193642 U25.0122 I0.7128
t6.51189899445 U25.0138 I0.7632
t6.53201198578 U25.0058 I0.7392
t6.55177593231 U25.0058 I0.7464
t6.57190585136 U25.0074 I0.6072
t6.59202194214 U25.0106 I0.6576
t6.61178398132 U25.0042 I0.6648
t6.63190793991 U24.9994 I0.696
t6.65202999115 U25.0074 I0.696
t6.67177581787 U25.0138 I0.6624
t6.69191598892 U25.0058 I0.792
t6.71197581291 U25.001 I0.7992
t6.73176693916 U24.9978 I0.7008
t6.75191879272 U24.9962 I0.7728
t6.7720348835 U24.9962 I0.6648
t6.7918009758 U24.9946 I0.6408
t6.81191897392 U24.9946 I0.6408
t6.83198881149 U25.0074 I0.6864
t6.85177278519 U25.0042 I1.236
t6.87191390991 U25.0122 I0.7608
t6.89203977585 U25.0074 I0.78
t6.91177487373 U25.0026 I0.732
t6.93190693855 U25.0186 I0.7008
t6.95203185081 U25.0026 I0.744
t6.97177886963 U25.0074 I0.6912
t6.99197387695 U24.993 I0.984
t7.0120139122 U24.9898 I0.768
t7.03177285194 U25.0074 I0.804
t7.05190086365 U25.0026 I0.9024
t7.07197785378 U25.009 I0.8256
t7.09181690216 U25.009 I0.6192
t7.11578297615 U24.9994 I0.8928
t7.13589978218 U25.0074 I0.7272
t7.15602493286 U25.001 I0.8424
t7.17576980591 U24.9962 I0.7776
t7.19590497017 U25.0058 I0.7152
t7.21597290039 U25.0042 I0.804
t7.23576593399 U25.0058 I0.6864
t7.25589489937 U25.0042 I0.888
t7.27597093582 U25.0058 I0.7584
t7.2958009243 U25.017 I0.7728
t7.31594777107 U25.001 I0.7704
t7.33603191376 U25.0106 I0.7536
t7.35577082634 U24.993 I0.8352
t7.37590479851 U24.9962 I0.7248
t7.396037817 U24.9994 I0.7248
t7.41576600075 U25.0026 I0.84
t7.43589782715 U25.0026 I0.7104
t7.45602583885 U24.993 I0.7968
