Temperature Data
,"No. Curves",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legend,Ambient,,"Housing [Active]",,"Housing OH [Front]",,"Housing [Front]",,"Endcap [Front]",,"Housing OH [Rear]",,"Housing [Rear]",,"Endcap [Rear]",,"Stator Back Iron",,"Stator Surface",,"Rotor Surface",,Magnet,,"Rotor Back Iron",,"Shaft [Active]",,"Shaft [Front]",,"Shaft [Rear]",,"Shaft OHang [F]",,"Shaft OHang [R]",,"TVent EWdgE[F]",,"TVent EWdgE[R]",,"TVent EWdgO[F]",,"TVent EWdgO[R]",,"TVent EWdgB[F]",,"TVent EWdgB[R]",,"TVent Airgap",,"Bearing [Front]",,"Bearing [Rear]",,"Slot WJ Fluid",,"Rotor Lam [F]",,"Rotor Lam [R]",,"Magnet [F]",,"Magnet [R]",,"TVent Rotor End [F]",,"Slot WJ Inlet",,"EWdg_Outer_F (C0)",,"EWdg_End_F (C1)",,"EWdg_Front_F (C1)",,"EWdg_Rear_F (C1)",,"EWdg_F (Average) (C1)",,"EWdg_Outer_R (C1)",,"EWdg_End_R (C1)",,"EWdg_Front_R (C1)",,"EWdg_Rear_R (C1)",,"EWdg_R (Average) (C1)",,"Wedge (C1)",,"SlotCentre (C1)",,"Liner (C1)",,"Liner_Yoke (C1)",,"Wdg_F (C1)",,"Wdg_R (C1)",,"Wdg (Average) (C1)",,"Stator Tooth (C1)",,"EWdg_Outer_F (C1)",,"EWdg_Bore_F (C2)",,"EWdg_End_F (C2)",,"EWdg_Front_F (C2)",,"EWdg_Rear_F (C2)",,"EWdg_F (Average) (C2)",,"EWdg_Outer_R (C2)",,"EWdg_Bore_R (C2)",,"EWdg_End_R (C2)",,"EWdg_Front_R (C2)",,"EWdg_Rear_R (C2)",,"EWdg_R (Average) (C2)",,"SlotCentre (C2)",,"Liner (C2)",,"Wdg_inner_C (C2)",,"Wdg_F (C2)",,"Wdg_R (C2)",,"Wdg (Average) (C2)",,"Stator Tooth (C2)",,"Housing [Active] (1F)",,"Stator Back Iron (1F)",,"Stator Surface (1F)",,"Rotor Surface (1F)",,"Magnet (1F)",,"Rotor Back Iron (1F)",,"Shaft [Active] (1F)",,"TVent Airgap (1F)",,"Slot WJ Fluid (1F)",,"Wedge (C1) (1F)",,"SlotCentre (C1) (1F)",,"Liner (C1) (1F)",,"Liner_Yoke (C1) (1F)",,"Wdg_F (C1) (1F)",,"Wdg (Average) (C1) (1F)",,"Stator Tooth (C1) (1F)",,"SlotCentre (C2) (1F)",,"Liner (C2) (1F)",,"Wdg_inner_C (C2) (1F)",,"Wdg_F (C2) (1F)",,"Wdg (Average) (C2) (1F)",,"Stator Tooth (C2) (1F)",,"Housing [Active] (1R)",,"Stator Back Iron (1R)",,"Stator Surface (1R)",,"Rotor Surface (1R)",,"Magnet (1R)",,"Rotor Back Iron (1R)",,"Shaft [Active] (1R)",,"TVent Airgap (1R)",,"Slot WJ Fluid (1R)",,"Wedge (C1) (1R)",,"SlotCentre (C1) (1R)",,"Liner (C1) (1R)",,"Liner_Yoke (C1) (1R)",,"Wdg_R (C1) (1R)",,"Wdg (Average) (C1) (1R)",,"Stator Tooth (C1) (1R)",,"SlotCentre (C2) (1R)",,"Liner (C2) (1R)",,"Wdg_inner_C (C2) (1R)",,"Wdg_R (C2) (1R)",,"Wdg (Average) (C2) (1R)",,"Stator Tooth (C2) (1R)",,"Winding (Average)",,"Winding (Coolspot)",,"Winding (Hotspot)",,
,Symbol,None,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,DiagCross,,Star,,Diamond,,Rectangle,,Circle,,Triangle,,DownTriangle,,Cross,,
,"Line Color",White,,Blue,,Blue,,Blue,,Brown,,Blue,,Blue,,Brown,,Red,,Red,,Aqua,,LtGreen,,Aqua,,Silver,,Silver,,Silver,,Silver,,Silver,,TVent,,TVent,,TVent,,TVent,,TVent,,TVent,,TVent,,Silver,,Silver,,SlotWJ,,Aqua,,Aqua,,LtGreen,,LtGreen,,TVent,,SlotWJ,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,LtGreen,,Green,,Green,,Yellow,,Yellow,,Yellow,,Red,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,Yellow,,LtGreen,,Green,,Yellow,,Yellow,,Yellow,,Yellow,,Red,,Blue,,Red,,Red,,Aqua,,LtGreen,,Aqua,,Silver,,TVent,,SlotWJ,,Yellow,,LtGreen,,Green,,Green,,Yellow,,Yellow,,Red,,LtGreen,,Green,,Yellow,,Yellow,,Yellow,,Red,,Blue,,Red,,Red,,Aqua,,LtGreen,,Aqua,,Silver,,TVent,,SlotWJ,,Yellow,,LtGreen,,Green,,Green,,Yellow,,Yellow,,Red,,LtGreen,,Green,,Yellow,,Yellow,,Yellow,,Red,,Yellow,,Yellow,,Yellow,,
,Offset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Multiplier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,"No. Points",58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,
,Data...,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,25,0,40,0,40,0,40,0,40,0,40,0,25,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,
,1,9.090909091,40,9.090909091,40.23917555,9.090909091,40.19166022,9.090909091,40.18531315,9.090909091,40.23247942,9.090909091,40.19556117,9.090909091,40.18883981,9.090909091,40.23601762,9.090909091,41.52333903,9.090909091,40.71151112,9.090909091,40.35487905,9.090909091,40.52584274,9.090909091,40.20240348,9.090909091,40.11163576,9.090909091,46.75195283,9.090909091,53.89669542,9.090909091,40.05715109,9.090909091,40.125066,9.090909091,42.90007403,9.090909091,42.90334649,9.090909091,47.12856573,9.090909091,47.12957345,9.090909091,50.73766249,9.090909091,50.74047569,9.090909091,40.50938596,9.090909091,40.1679433,9.090909091,40.34699264,9.090909091,24.26088318,9.090909091,40.12394859,9.090909091,40.12478076,9.090909091,40.43401649,9.090909091,40.4340713,9.090909091,40.11303868,9.090909091,25,9.090909091,54.11035858,9.090909091,55.29385682,9.090909091,54.51695259,9.090909091,55.87157594,9.090909091,55.42003483,9.090909091,54.11106286,9.090909091,55.29243641,9.090909091,55.87344795,9.090909091,54.51897086,9.090909091,55.42195559,9.090909091,37.67118814,9.090909091,60.31190826,9.090909091,47.19599017,9.090909091,51.65363103,9.090909091,55.91767756,9.090909091,55.92443204,9.090909091,55.93993556,9.090909091,42.46450628,9.090909091,55.83391966,9.090909091,52.83987723,9.090909091,54.71708443,9.090909091,54.03558961,9.090909091,54.85356111,9.090909091,54.58090394,9.090909091,55.83836924,9.090909091,52.84644421,9.090909091,54.71242056,9.090909091,54.86084043,9.090909091,54.04259474,9.090909091,54.58809187,9.090909091,57.27449447,9.090909091,47.48085859,9.090909091,46.7291489,9.090909091,54.02857247,9.090909091,54.05271924,9.090909091,54.00994918,9.090909091,41.87239523,9.090909091,40.22933633,9.090909091,41.52527646,9.090909091,40.7335053,9.090909091,40.29311578,9.090909091,40.43776011,9.090909091,40.14769245,9.090909091,40.08205467,9.090909091,40.49034817,9.090909091,27.63664707,9.090909091,39.5630245,9.090909091,60.13774914,9.090909091,47.17222816,9.090909091,51.27485469,9.090909091,55.67239084,9.090909091,55.81590881,9.090909091,42.49499906,9.090909091,57.43945559,9.090909091,47.56679337,9.090909091,47.78295189,9.090909091,54.30854296,9.090909091,54.14856819,9.090909091,41.91307447,9.090909091,40.23097501,9.090909091,41.52579548,9.090909091,40.73376347,9.090909091,40.29308999,9.090909091,40.4378165,9.090909091,40.14817102,9.090909091,40.08228974,9.090909091,40.49027881,9.090909091,29.55302313,9.090909091,40.60569796,9.090909091,60.14658399,9.090909091,47.18342498,9.090909091,51.11733628,9.090909091,55.68099395,9.090909091,55.82553099,9.090909091,42.50704796,9.090909091,57.47990816,9.090909091,47.58922009,9.090909091,48.40428477,9.090909091,54.33943449,9.090909091,54.18301213,9.090909091,41.92517843,9.090909091,54.99614412,9.090909091,37.67118814,9.090909091,60.31190826,
,2,18.18181818,40,18.18181818,40.9814668,18.18181818,40.78560902,18.18181818,40.7359011,18.18181818,40.62222532,18.18181818,40.80942237,18.18181818,40.75816628,18.18181818,40.64195327,18.18181818,43.89149811,18.18181818,42.91009678,18.18181818,40.78137049,18.18181818,40.89298889,18.18181818,40.44241841,18.18181818,40.3243718,18.18181818,52.77033074,18.18181818,64.7200766,18.18181818,40.27394717,18.18181818,40.59907946,18.18181818,45.89908169,18.18181818,45.93549019,18.18181818,55.84423238,18.18181818,55.86475711,18.18181818,63.46234166,18.18181818,63.64033079,18.18181818,41.80904021,18.18181818,40.64141457,18.18181818,41.26030335,18.18181818,40.71884641,18.18181818,40.29984472,18.18181818,40.30149784,18.18181818,40.76357599,18.18181818,40.76433861,18.18181818,40.28677955,18.18181818,25,18.18181818,67.96746181,18.18181818,70.14385214,18.18181818,68.35132662,18.18181818,70.96944258,18.18181818,70.09673726,18.18181818,67.99338897,18.18181818,70.18443952,18.18181818,71.02292362,18.18181818,68.40302477,18.18181818,70.149624,18.18181818,52.4169971,18.18181818,77.76180345,18.18181818,54.37054108,18.18181818,59.77396426,18.18181818,69.94492609,18.18181818,69.99269841,18.18181818,69.96471599,18.18181818,45.9322922,18.18181818,70.52570014,18.18181818,65.9110528,18.18181818,68.58810489,18.18181818,67.26828241,18.18181818,68.83798048,18.18181818,68.31474779,18.18181818,70.63079948,18.18181818,66.11335035,18.18181818,68.72292723,18.18181818,69.01978676,18.18181818,67.44013921,18.18181818,68.49323758,18.18181818,73.35126988,18.18181818,55.45318769,18.18181818,62.46507043,18.18181818,67.33935499,18.18181818,67.5043258,18.18181818,67.38524249,18.18181818,45.20359914,18.18181818,40.93559177,18.18181818,43.87317964,18.18181818,42.89161901,18.18181818,40.67611658,18.18181818,40.76705306,18.18181818,40.32815576,18.18181818,40.23954811,18.18181818,41.74871763,18.18181818,36.09273349,18.18181818,49.99982508,18.18181818,77.77638968,18.18181818,54.32798298,18.18181818,60.14241628,18.18181818,70.00250751,18.18181818,69.96025412,18.18181818,45.86911964,18.18181818,73.50143052,18.18181818,55.47119085,18.18181818,61.03581784,18.18181818,67.76803358,18.18181818,67.49135062,18.18181818,45.14592046,18.18181818,40.94818194,18.18181818,43.90270668,18.18181818,42.95739918,18.18181818,40.67785263,18.18181818,40.76782824,18.18181818,40.32936689,18.18181818,40.24040174,18.18181818,41.78147148,18.18181818,45.16892231,18.18181818,54.98468466,18.18181818,77.83102578,18.18181818,54.43951318,18.18181818,59.42101366,18.18181818,70.07999298,18.18181818,70.03385491,18.18181818,46.00117403,18.18181818,73.78462013,18.18181818,55.66554868,18.18181818,64.01765792,18.18181818,68.03385826,18.18181818,67.74492965,18.18181818,45.28940753,18.18181818,69.05182963,18.18181818,49.99982508,18.18181818,77.83102578,
