timestamp,relative_time (seg),id,mechanicalPower,dcCurrent,acCurrent,outVoltage,dcVoltage,speedReq,speedActual,timeSpeedMeas,torqueReq,torqueActual,timeTorqueMeas,inv PCB temp,temp A,temp B,temp C,Motor temp,Analog inp 1,Analog inp 5,Analog inp 3,Analog inp 4,Analog inp 6
1564150952542,0.001,0xc0,0.0,0,0,0,0,0,0,-1564150952.541,0.0,0,-1564150952.541,0,0,0,0,0,4.92,4.93,4.92,4.92,4.93
1564150952542,0.001,0xc0,0.0,0.0,0.30000000000000004,0.0,638.1,0,0,0.001,0.0,0.1,0.001,0,0,0,0,0,4.92,4.93,4.92,4.92,4.93
1564150952549,0.008,0xc0,0.0,0.0,0.30000000000000004,0.0,638.1,0,0,0.001,0.0,0.0,0.004,0,0,0,0,0,4.92,4.93,4.92,4.92,4.93
1564150952557,0.016,0xc0,0.0,0.0,-0.2,0.0,638.3000000000001,0,0,0.014,0.0,0.0,0.011,0,0,0,0,0,4.92,4.93,4.92,4.92,4.93
1564150952566,0.025,0xc0,0.0,0.0,-0.2,0.0,638.3000000000001,0,0,0.023,0.0,-0.1,0.02,38.7,39.900000000000006,40.300000000000004,40.400000000000006,0,4.92,4.93,4.92,4.92,4.93
1564150952575,0.034,0xc0,0.0,0.0,-0.2,0.0,638.7,0,0,0.023,0.0,-0.1,0.029,38.7,39.900000000000006,40.300000000000004,40.400000000000006,0,4.92,4.93,4.92,4.92,4.93
1564150952584,0.043,0xc0,0.0,0.0,0.1,0.0,638.9000000000001,0,0,0.023,0.0,0.4,0.038,38.7,39.900000000000006,40.300000000000004,40.400000000000006,0,4.92,4.93,4.92,4.92,4.93
1564150952593,0.052,0xc0,0.0,0.0,-0.6000000000000001,0.0,638.9000000000001,0,0,0.023,0.0,-0.2,0.047,38.7,39.900000000000006,40.300000000000004,40.400000000000006,0,4.92,4.93,4.92,4.92,4.93
1564150952602,0.061,0xc0,0.0,0.0,0.0,0.0,638.5,0,0,0.023,0.0,-0.1,0.056,38.7,39.900000000000006,40.300000000000004,40.400000000000006,0,4.92,4.93,4.92,4.92,4.93
1564150952611,0.07,0xc0,0.0,0.0,-0.2,0.0,637.8000000000001,0,0,0.023,0.0,-0.4,0.065,38.7,39.900000000000006,40.300000000000004,40.400000000000006,0,4.92,4.93,4.92,4.92,4.93
