timestamp,relative_time (seg),id,value
1562356447356,0.002,0xdc,"{'D2_Torque_Feedback': 0.6000000000000001, 'D3_Power_On_Timer': 536.241, 'D1_Commanded_Torque': 0.9}"
1562356448358,1.004,0xde,"{'D3_DateCode_MMDD': 1297, 'D2_SW_Version': 6580, 'D4_DateCode_YYYY': 8216, 'D1_Project_Code_EEP_Ver': 16}"
1562356449359,2.005,0xda,"{'D3_Relay_5_Status': 0, 'D5_Inverter_Command_Mode': 0, 'D6_Inverter_Enable_Lockout': 0, 'D6_Inverter_Enable_State': 1, 'D4_Inverter_Discharge_State': 0, 'D7_BMS_Active': 0, 'D4_Inverter_Run_Mode': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_3_Status': 1, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D3_Relay_4_Status': 0, 'D3_Relay_6_Status': 0, 'D7_Direction_Command': 1, 'D7_BMS_Torque_Limiting': 0, 'D3_Relay_1_Status': 0}"
1562356450360,3.006,0xdd,"{'D1_Modulation_Index': 0.039900000000000005, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.2000000000000002, 'D3_Id_Command': 0.0}"
1562356451360,4.006,0xd5,"{'D4_Delta_Resolver_Filtered': 91.2, 'D3_Electrical_Output_Frequency': 30.1, 'D2_Motor_Speed': 181, 'D1_Motor_Angle_Electrical': 227.3}"
1562356452362,5.008,0xdd,"{'D1_Modulation_Index': 0.039, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.2000000000000002, 'D3_Id_Command': 0.0}"
1562356453363,6.009,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.94, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.93, 'D3_Analog_Input_3': 4.92, 'D1_Analog_Input_1': 4.92}"
1562356454364,7.01,0xd7,"{'D2_Output_Voltage': 11.9, 'D4_VBC_Vq_Voltage': 11.9, 'D1_DC_Bus_Voltage': 607.6, 'D3_VAB_Vd_Voltage': 0.2}"
1562356455366,8.012,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.94, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.92, 'D3_Analog_Input_3': 4.93, 'D1_Analog_Input_1': 4.93}"
1562356456366,9.012,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
1562356457369,10.015,0xdd,"{'D1_Modulation_Index': 0.0398, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.3, 'D3_Id_Command': 0.0}"
